subjectid|activityid|variable|meanvalue
17|Walking|tbodyaccmeanx|0.272341855245902
18|Walking|tbodyaccmeanx|0.273887758571429
19|Walking|tbodyaccmeanx|0.273931172307692
20|Walking|tbodyaccmeanx|0.272589336470588
21|Walking|tbodyaccmeanx|0.279183526730769
22|Walking|tbodyaccmeanx|0.27886459
23|Walking|tbodyaccmeanx|0.273211884237288
24|Walking|tbodyaccmeanx|0.276980816034483
25|Walking|tbodyaccmeanx|0.278992759054054
26|Walking|tbodyaccmeanx|0.279264443728814
27|Walking|tbodyaccmeanx|0.276849485438596
28|Walking|tbodyaccmeanx|0.281228223888889
29|Walking|tbodyaccmeanx|0.271999916792453
30|Walking|tbodyaccmeanx|0.276406758
1|Walking Downstairs|tbodyaccmeanx|0.289188320408163
2|Walking Downstairs|tbodyaccmeanx|0.27761534806383
3|Walking Downstairs|tbodyaccmeanx|0.292423484693878
4|Walking Downstairs|tbodyaccmeanx|0.279965329555556
5|Walking Downstairs|tbodyaccmeanx|0.29354392712766
6|Walking Downstairs|tbodyaccmeanx|0.277045258145833
7|Walking Downstairs|tbodyaccmeanx|0.28030708
8|Walking Downstairs|tbodyaccmeanx|0.283484089210526
9|Walking Downstairs|tbodyaccmeanx|0.295923445
10|Walking Downstairs|tbodyaccmeanx|0.290401594315789
11|Walking Downstairs|tbodyaccmeanx|0.291605631956522
12|Walking Downstairs|tbodyaccmeanx|0.281521097391304
13|Walking Downstairs|tbodyaccmeanx|0.294907553404255
14|Walking Downstairs|tbodyaccmeanx|0.293422115555556
15|Walking Downstairs|tbodyaccmeanx|0.280198851190476
16|Walking Downstairs|tbodyaccmeanx|0.295586802191489
17|Walking Downstairs|tbodyaccmeanx|0.29391828326087
18|Walking Downstairs|tbodyaccmeanx|0.288439468909091
19|Walking Downstairs|tbodyaccmeanx|0.262688053871795
20|Walking Downstairs|tbodyaccmeanx|0.296144421355556
21|Walking Downstairs|tbodyaccmeanx|0.3014610196
22|Walking Downstairs|tbodyaccmeanx|0.284458963861111
23|Walking Downstairs|tbodyaccmeanx|0.289897411148148
24|Walking Downstairs|tbodyaccmeanx|0.288631208909091
25|Walking Downstairs|tbodyaccmeanx|0.291329666206897
26|Walking Downstairs|tbodyaccmeanx|0.2792845828
27|Walking Downstairs|tbodyaccmeanx|0.2975441875
28|Walking Downstairs|tbodyaccmeanx|0.293642076521739
29|Walking Downstairs|tbodyaccmeanx|0.293140441083333
30|Walking Downstairs|tbodyaccmeanx|0.283190646967742
1|Walking Upstairs|tbodyaccmeanx|0.255461689622641
2|Walking Upstairs|tbodyaccmeanx|0.247164790395833
3|Walking Upstairs|tbodyaccmeanx|0.260819873067797
4|Walking Upstairs|tbodyaccmeanx|0.270876696730769
5|Walking Upstairs|tbodyaccmeanx|0.268459469914894
6|Walking Upstairs|tbodyaccmeanx|0.268229355098039
7|Walking Upstairs|tbodyaccmeanx|0.248706923078431
8|Walking Upstairs|tbodyaccmeanx|0.258880152048781
9|Walking Upstairs|tbodyaccmeanx|0.262436475714286
10|Walking Upstairs|tbodyaccmeanx|0.267121853404255
11|Walking Upstairs|tbodyaccmeanx|0.263775859277778
12|Walking Upstairs|tbodyaccmeanx|0.272970338653846
13|Walking Upstairs|tbodyaccmeanx|0.258203939581818
14|Walking Upstairs|tbodyaccmeanx|0.26242106612963
15|Walking Upstairs|tbodyaccmeanx|0.270187595833333
16|Walking Upstairs|tbodyaccmeanx|0.255986102627451
17|Walking Upstairs|tbodyaccmeanx|0.252604768583333
18|Walking Upstairs|tbodyaccmeanx|0.265401201896552
19|Walking Upstairs|tbodyaccmeanx|0.242118808925
20|Walking Upstairs|tbodyaccmeanx|0.252098317156863
21|Walking Upstairs|tbodyaccmeanx|0.265194544680851
22|Walking Upstairs|tbodyaccmeanx|0.248391534566667
23|Walking Upstairs|tbodyaccmeanx|0.249995171031373
24|Walking Upstairs|tbodyaccmeanx|0.269881106779661
25|Walking Upstairs|tbodyaccmeanx|0.277995411384615
26|Walking Upstairs|tbodyaccmeanx|0.272691394545455
27|Walking Upstairs|tbodyaccmeanx|0.265770253921569
28|Walking Upstairs|tbodyaccmeanx|0.262005841764706
29|Walking Upstairs|tbodyaccmeanx|0.265423066877551
30|Walking Upstairs|tbodyaccmeanx|0.271415642261538
1|Laying|tbodyaccmeany|-0.0405139534294
2|Laying|tbodyaccmeany|-0.0181587397583333
3|Laying|tbodyaccmeany|-0.0189556785048387
4|Laying|tbodyaccmeany|-0.0150031841055556
5|Laying|tbodyaccmeany|-0.0183042123269231
6|Laying|tbodyaccmeany|-0.0102529170561404
7|Laying|tbodyaccmeany|-0.0204411516884615
8|Laying|tbodyaccmeany|-0.0212281733881481
9|Laying|tbodyaccmeany|-0.020526821662
10|Laying|tbodyaccmeany|-0.024294484137931
11|Laying|tbodyaccmeany|-0.0176598052315789
12|Laying|tbodyaccmeany|-0.0175203917146667
13|Laying|tbodyaccmeany|-0.020440454366129
14|Laying|tbodyaccmeany|-0.0113424652490196
15|Laying|tbodyaccmeany|-0.0166296542054167
16|Laying|tbodyaccmeany|-0.0166103510562857
17|Laying|tbodyaccmeany|-0.0168462006729577
18|Laying|tbodyaccmeany|-0.0173937684615385
19|Laying|tbodyaccmeany|-0.0171426864421687
20|Laying|tbodyaccmeany|-0.0144406281132353
21|Laying|tbodyaccmeany|-0.0184233048415556
22|Laying|tbodyaccmeany|-0.0142629864502778
23|Laying|tbodyaccmeany|-0.0216553835833333
24|Laying|tbodyaccmeany|-0.0173555210111111
25|Laying|tbodyaccmeany|-0.0188943663671233
26|Laying|tbodyaccmeany|-0.0191895728026316
27|Laying|tbodyaccmeany|-0.0179867611216216
28|Laying|tbodyaccmeany|-0.0167537858225
29|Laying|tbodyaccmeany|-0.0171965484202899
30|Laying|tbodyaccmeany|-0.0194494098614286
1|Sitting|tbodyaccmeany|-0.00130828765170213
2|Sitting|tbodyaccmeany|-0.0156879937282609
3|Sitting|tbodyaccmeany|-0.00350299841730769
4|Sitting|tbodyaccmeany|-0.007163065158
5|Sitting|tbodyaccmeany|-0.00990083527045455
6|Sitting|tbodyaccmeany|-0.0145911615290909
7|Sitting|tbodyaccmeany|-0.01461097580375
8|Sitting|tbodyaccmeany|-0.00672550621304348
9|Sitting|tbodyaccmeany|-0.02701677698
10|Sitting|tbodyaccmeany|-0.015042681852037
11|Sitting|tbodyaccmeany|-0.0149195616754717
12|Sitting|tbodyaccmeany|-0.0157892988523529
13|Sitting|tbodyaccmeany|-0.00587732936326531
14|Sitting|tbodyaccmeany|-0.00870565463888889
15|Sitting|tbodyaccmeany|-0.0117188472271186
16|Sitting|tbodyaccmeany|-0.0102497939956522
17|Sitting|tbodyaccmeany|-0.014156274084375
18|Sitting|tbodyaccmeany|-0.0128691279736842
19|Sitting|tbodyaccmeany|-0.016739260030137
20|Sitting|tbodyaccmeany|-0.0147229305131818
21|Sitting|tbodyaccmeany|-0.0144009705494118
22|Sitting|tbodyaccmeany|-0.0123468446419355
23|Sitting|tbodyaccmeany|-0.0133945015676471
24|Sitting|tbodyaccmeany|-0.0131255097938235
25|Sitting|tbodyaccmeany|-0.0147696808030769
26|Sitting|tbodyaccmeany|-0.00713364541358974
27|Sitting|tbodyaccmeany|-0.0155269799285714
28|Sitting|tbodyaccmeany|-0.0185404441258333
29|Sitting|tbodyaccmeany|-0.016630680375
30|Sitting|tbodyaccmeany|-0.00804731295322581
1|Standing|tbodyaccmeany|-0.0161375901037736
2|Standing|tbodyaccmeany|-0.0184208270166667
3|Standing|tbodyaccmeany|-0.0143376555065574
4|Standing|tbodyaccmeany|-0.00948911098553571
5|Standing|tbodyaccmeany|-0.00700418554517857
6|Standing|tbodyaccmeany|-0.0181236327175439
7|Standing|tbodyaccmeany|-0.0145740341037736
8|Standing|tbodyaccmeany|-0.0148113067148148
9|Standing|tbodyaccmeany|-0.0200454954022222
10|Standing|tbodyaccmeany|-0.0155418603409091
11|Standing|tbodyaccmeany|-0.0171990886595745
12|Standing|tbodyaccmeany|-0.0169002543196721
13|Standing|tbodyaccmeany|-0.0167891993964912
14|Standing|tbodyaccmeany|-0.01520781344
15|Standing|tbodyaccmeany|-0.0183516360396226
16|Standing|tbodyaccmeany|-0.0165999672935897
17|Standing|tbodyaccmeany|-0.0174120064169231
18|Standing|tbodyaccmeany|-0.0166353518150685
19|Standing|tbodyaccmeany|-0.0154244056945205
20|Standing|tbodyaccmeany|-0.0180695049161644
21|Standing|tbodyaccmeany|-0.0167084730205618
22|Standing|tbodyaccmeany|-0.0158563207496825
23|Standing|tbodyaccmeany|-0.0177475547867647
24|Standing|tbodyaccmeany|-0.0144785340348986
25|Standing|tbodyaccmeany|-0.0163569730274324
26|Standing|tbodyaccmeany|-0.0166608306652703
27|Standing|tbodyaccmeany|-0.016593236445
28|Standing|tbodyaccmeany|-0.0172635124672152
29|Standing|tbodyaccmeany|-0.0172605869061538
30|Standing|tbodyaccmeany|-0.0170163887813559
1|Walking|tbodyaccmeany|-0.0173838185273684
2|Walking|tbodyaccmeany|-0.0185949199145763
3|Walking|tbodyaccmeany|-0.0171767844203448
4|Walking|tbodyaccmeany|-0.0148399475341667
5|Walking|tbodyaccmeany|-0.0172850317482679
6|Walking|tbodyaccmeany|-0.0168954189082456
7|Walking|tbodyaccmeany|-0.018653665345614
8|Walking|tbodyaccmeany|-0.0186628865310417
9|Walking|tbodyaccmeany|-0.0180891971284423
10|Walking|tbodyaccmeany|-0.017022351190566
11|Walking|tbodyaccmeany|-0.0166475833623729
12|Walking|tbodyaccmeany|-0.015560927606
13|Walking|tbodyaccmeany|-0.0185660651947368
14|Walking|tbodyaccmeany|-0.0217785380966102
15|Walking|tbodyaccmeany|-0.0170809740090741
16|Walking|tbodyaccmeany|-0.0204286929452941
17|Walking|tbodyaccmeany|-0.0184875403339344
18|Walking|tbodyaccmeany|-0.0178023631866071
19|Walking|tbodyaccmeany|-0.0191773587903846
20|Walking|tbodyaccmeany|-0.021199992245098
21|Walking|tbodyaccmeany|-0.0181610317526923
22|Walking|tbodyaccmeany|-0.0167213607957174
23|Walking|tbodyaccmeany|-0.0183618711932203
24|Walking|tbodyaccmeany|-0.0225446400534483
25|Walking|tbodyaccmeany|-0.0186477624716216
26|Walking|tbodyaccmeany|-0.0154259586949153
27|Walking|tbodyaccmeany|-0.0166478783221912
28|Walking|tbodyaccmeany|-0.0156759722981481
29|Walking|tbodyaccmeany|-0.0162915600588679
30|Walking|tbodyaccmeany|-0.0175880385730769
1|Walking Downstairs|tbodyaccmeany|-0.00991850461020408
2|Walking Downstairs|tbodyaccmeany|-0.0226614158361702
3|Walking Downstairs|tbodyaccmeany|-0.0193554079328571
4|Walking Downstairs|tbodyaccmeany|-0.00980200850666667
5|Walking Downstairs|tbodyaccmeany|-0.00850107533191489
6|Walking Downstairs|tbodyaccmeany|-0.019536840063125
7|Walking Downstairs|tbodyaccmeany|-0.0166332372978723
8|Walking Downstairs|tbodyaccmeany|-0.0211058674973684
9|Walking Downstairs|tbodyaccmeany|-0.0203994269075476
10|Walking Downstairs|tbodyaccmeany|-0.0200050770710526
11|Walking Downstairs|tbodyaccmeany|-0.0178097721219565
12|Walking Downstairs|tbodyaccmeany|-0.018084266865793
13|Walking Downstairs|tbodyaccmeany|-0.0143723839108511
14|Walking Downstairs|tbodyaccmeany|-0.0200141413657778
15|Walking Downstairs|tbodyaccmeany|-0.00563047804309524
16|Walking Downstairs|tbodyaccmeany|-0.0183898583787234
17|Walking Downstairs|tbodyaccmeany|-0.0167359404347826
18|Walking Downstairs|tbodyaccmeany|-0.0168666920221818
19|Walking Downstairs|tbodyaccmeany|-0.0145942275069487
20|Walking Downstairs|tbodyaccmeany|-0.00964120773155556
21|Walking Downstairs|tbodyaccmeany|-0.0173195390157778
22|Walking Downstairs|tbodyaccmeany|-0.0197999371686389
23|Walking Downstairs|tbodyaccmeany|-0.0162111457238889
24|Walking Downstairs|tbodyaccmeany|-0.0145730348310909
25|Walking Downstairs|tbodyaccmeany|-0.0210170522987931
26|Walking Downstairs|tbodyaccmeany|-0.01262580966778
27|Walking Downstairs|tbodyaccmeany|-0.0135564467159091
28|Walking Downstairs|tbodyaccmeany|-0.0220230465913043
29|Walking Downstairs|tbodyaccmeany|-0.01494121505625
30|Walking Downstairs|tbodyaccmeany|-0.0174383900204839
1|Walking Upstairs|tbodyaccmeany|-0.0239531492643396
2|Walking Upstairs|tbodyaccmeany|-0.0214121132045833
3|Walking Upstairs|tbodyaccmeany|-0.0324109410555932
4|Walking Upstairs|tbodyaccmeany|-0.0319804295729615
5|Walking Upstairs|tbodyaccmeany|-0.0325269755153191
6|Walking Upstairs|tbodyaccmeany|-0.0272425385070588
7|Walking Upstairs|tbodyaccmeany|-0.0275639005607843
8|Walking Upstairs|tbodyaccmeany|-0.0282415136341463
9|Walking Upstairs|tbodyaccmeany|-0.0195101099975714
10|Walking Upstairs|tbodyaccmeany|-0.0143854920340426
11|Walking Upstairs|tbodyaccmeany|-0.0303157822055556
12|Walking Upstairs|tbodyaccmeany|-0.0263574903403846
13|Walking Upstairs|tbodyaccmeany|-0.0277392253910909
14|Walking Upstairs|tbodyaccmeany|-0.0204388180024074
15|Walking Upstairs|tbodyaccmeany|-0.0287523860708333
16|Walking Upstairs|tbodyaccmeany|-0.0143654945011765
17|Walking Upstairs|tbodyaccmeany|-0.0228645614308333
18|Walking Upstairs|tbodyaccmeany|-0.0222060684378914
19|Walking Upstairs|tbodyaccmeany|-0.0303986615775
20|Walking Upstairs|tbodyaccmeany|-0.0282258047588235
21|Walking Upstairs|tbodyaccmeany|-0.0237218695148936
22|Walking Upstairs|tbodyaccmeany|-0.0268622561133333
23|Walking Upstairs|tbodyaccmeany|-0.0323844029237255
24|Walking Upstairs|tbodyaccmeany|-0.0251979434569492
25|Walking Upstairs|tbodyaccmeany|-0.0269863524264615
26|Walking Upstairs|tbodyaccmeany|-0.0281633797398182
27|Walking Upstairs|tbodyaccmeany|-0.0200953324078431
28|Walking Upstairs|tbodyaccmeany|-0.0279443943478431
29|Walking Upstairs|tbodyaccmeany|-0.0299465312326531
30|Walking Upstairs|tbodyaccmeany|-0.0253311698786154
1|Laying|tbodyaccmeanz|-0.11320355358
2|Laying|tbodyaccmeanz|-0.107245610416667
3|Laying|tbodyaccmeanz|-0.101300477506452
4|Laying|tbodyaccmeanz|-0.110688150314815
5|Laying|tbodyaccmeanz|-0.107937603673077
6|Laying|tbodyaccmeanz|-0.133119570368421
7|Laying|tbodyaccmeanz|-0.101361036576923
8|Laying|tbodyaccmeanz|-0.102245365611111
9|Laying|tbodyaccmeanz|-0.10754972144
10|Laying|tbodyaccmeanz|-0.117168642362069
11|Laying|tbodyaccmeanz|-0.108786578070175
12|Laying|tbodyaccmeanz|-0.108160125666667
13|Laying|tbodyaccmeanz|-0.104331864532258
14|Laying|tbodyaccmeanz|-0.0868333315509804
15|Laying|tbodyaccmeanz|-0.118530240291667
16|Laying|tbodyaccmeanz|-0.107310493242857
17|Laying|tbodyaccmeanz|-0.107006279704225
18|Laying|tbodyaccmeanz|-0.107698927907692
19|Laying|tbodyaccmeanz|-0.10898146186747
20|Laying|tbodyaccmeanz|-0.104274322538235
21|Laying|tbodyaccmeanz|-0.103253832233333
22|Laying|tbodyaccmeanz|-0.110800924652778
23|Laying|tbodyaccmeanz|-0.104256776291667
24|Laying|tbodyaccmeanz|-0.107236237236111
25|Laying|tbodyaccmeanz|-0.100428830260274
26|Laying|tbodyaccmeanz|-0.105002540289474
27|Laying|tbodyaccmeanz|-0.107699732837838
28|Laying|tbodyaccmeanz|-0.1083448529625
29|Laying|tbodyaccmeanz|-0.109462068173913
30|Laying|tbodyaccmeanz|-0.1036581505
1|Sitting|tbodyaccmeanz|-0.104544182255319
2|Sitting|tbodyaccmeanz|-0.109218272456522
3|Sitting|tbodyaccmeanz|-0.0983579203269231
4|Sitting|tbodyaccmeanz|-0.10587459588
5|Sitting|tbodyaccmeanz|-0.108540300265909
6|Sitting|tbodyaccmeanz|-0.110127728709091
7|Sitting|tbodyaccmeanz|-0.122464597625
8|Sitting|tbodyaccmeanz|-0.104461049130435
9|Sitting|tbodyaccmeanz|-0.07537846886
10|Sitting|tbodyaccmeanz|-0.104253238796296
11|Sitting|tbodyaccmeanz|-0.112840218339623
12|Sitting|tbodyaccmeanz|-0.106307228960784
13|Sitting|tbodyaccmeanz|-0.0972465110836735
14|Sitting|tbodyaccmeanz|-0.100401490425926
15|Sitting|tbodyaccmeanz|-0.11366125320339
16|Sitting|tbodyaccmeanz|-0.0891404038405797
17|Sitting|tbodyaccmeanz|-0.11362408509375
18|Sitting|tbodyaccmeanz|-0.111904775824561
19|Sitting|tbodyaccmeanz|-0.10870765430137
20|Sitting|tbodyaccmeanz|-0.108369634515152
21|Sitting|tbodyaccmeanz|-0.112057887741176
22|Sitting|tbodyaccmeanz|-0.105827369516129
23|Sitting|tbodyaccmeanz|-0.103808679294118
24|Sitting|tbodyaccmeanz|-0.103041061426471
25|Sitting|tbodyaccmeanz|-0.109160440476923
26|Sitting|tbodyaccmeanz|-0.0974448692333333
27|Sitting|tbodyaccmeanz|-0.105521912588571
28|Sitting|tbodyaccmeanz|-0.111517939555556
29|Sitting|tbodyaccmeanz|-0.1104118192
30|Sitting|tbodyaccmeanz|-0.099515446133871
1|Standing|tbodyaccmeanz|-0.110601817735849
2|Standing|tbodyaccmeanz|-0.105908536055556
3|Standing|tbodyaccmeanz|-0.101621722633148
4|Standing|tbodyaccmeanz|-0.0961574905535714
5|Standing|tbodyaccmeanz|-0.102171095696429
6|Standing|tbodyaccmeanz|-0.112172831947368
7|Standing|tbodyaccmeanz|-0.0997778303207547
8|Standing|tbodyaccmeanz|-0.106114996837037
9|Standing|tbodyaccmeanz|-0.0952747481333333
10|Standing|tbodyaccmeanz|-0.107964083931818
11|Standing|tbodyaccmeanz|-0.108686630425532
12|Standing|tbodyaccmeanz|-0.105526999754098
13|Standing|tbodyaccmeanz|-0.112124137754386
14|Standing|tbodyaccmeanz|-0.103817701790667
15|Standing|tbodyaccmeanz|-0.105910832679245
16|Standing|tbodyaccmeanz|-0.103657729076923
17|Standing|tbodyaccmeanz|-0.111432145565
18|Standing|tbodyaccmeanz|-0.108453355945205
19|Standing|tbodyaccmeanz|-0.10904190460274
20|Standing|tbodyaccmeanz|-0.100402759931507
21|Standing|tbodyaccmeanz|-0.110417855808989
22|Standing|tbodyaccmeanz|-0.104967423820635
23|Standing|tbodyaccmeanz|-0.1105970177575
24|Standing|tbodyaccmeanz|-0.108222553855072
25|Standing|tbodyaccmeanz|-0.107352957594595
26|Standing|tbodyaccmeanz|-0.110237796416216
27|Standing|tbodyaccmeanz|-0.107835818025
28|Standing|tbodyaccmeanz|-0.106579385202532
29|Standing|tbodyaccmeanz|-0.108659067476923
30|Standing|tbodyaccmeanz|-0.108756209835593
1|Walking|tbodyaccmeanz|-0.111148103547368
2|Walking|tbodyaccmeanz|-0.105500357966102
3|Walking|tbodyaccmeanz|-0.112674859827586
4|Walking|tbodyaccmeanz|-0.11140306485
5|Walking|tbodyaccmeanz|-0.107741776464286
6|Walking|tbodyaccmeanz|-0.110303165877193
7|Walking|tbodyaccmeanz|-0.110912234947368
8|Walking|tbodyaccmeanz|-0.107252090833333
9|Walking|tbodyaccmeanz|-0.110820512307692
10|Walking|tbodyaccmeanz|-0.109057512132075
11|Walking|tbodyaccmeanz|-0.106096304033898
12|Walking|tbodyaccmeanz|-0.10316110632
13|Walking|tbodyaccmeanz|-0.111431456192982
14|Walking|tbodyaccmeanz|-0.106756369135593
15|Walking|tbodyaccmeanz|-0.107621819518519
16|Walking|tbodyaccmeanz|-0.108804049803922
17|Walking|tbodyaccmeanz|-0.109792122032787
18|Walking|tbodyaccmeanz|-0.104218315464286
19|Walking|tbodyaccmeanz|-0.122736673192308
20|Walking|tbodyaccmeanz|-0.113539477098039
21|Walking|tbodyaccmeanz|-0.104319332403846
22|Walking|tbodyaccmeanz|-0.107112510934783
23|Walking|tbodyaccmeanz|-0.113382994084746
24|Walking|tbodyaccmeanz|-0.110595952913793
25|Walking|tbodyaccmeanz|-0.108737636297297
26|Walking|tbodyaccmeanz|-0.108927011474576
27|Walking|tbodyaccmeanz|-0.112822289263158
28|Walking|tbodyaccmeanz|-0.103714705396296
29|Walking|tbodyaccmeanz|-0.106632427301887
30|Walking|tbodyaccmeanz|-0.0986247068969231
1|Walking Downstairs|tbodyaccmeanz|-0.107566190908163
2|Walking Downstairs|tbodyaccmeanz|-0.116812942382979
3|Walking Downstairs|tbodyaccmeanz|-0.116139842908163
4|Walking Downstairs|tbodyaccmeanz|-0.1067775246
5|Walking Downstairs|tbodyaccmeanz|-0.100319930659574
6|Walking Downstairs|tbodyaccmeanz|-0.107209356208333
7|Walking Downstairs|tbodyaccmeanz|-0.096938308587234
8|Walking Downstairs|tbodyaccmeanz|-0.107598135394737
9|Walking Downstairs|tbodyaccmeanz|-0.0910278793952381
10|Walking Downstairs|tbodyaccmeanz|-0.110848597247368
11|Walking Downstairs|tbodyaccmeanz|-0.111070149978261
12|Walking Downstairs|tbodyaccmeanz|-0.10955593226087
13|Walking Downstairs|tbodyaccmeanz|-0.101993941531915
14|Walking Downstairs|tbodyaccmeanz|-0.0928330165533333
15|Walking Downstairs|tbodyaccmeanz|-0.110526066428571
16|Walking Downstairs|tbodyaccmeanz|-0.119873705148936
17|Walking Downstairs|tbodyaccmeanz|-0.0892432745173913
18|Walking Downstairs|tbodyaccmeanz|-0.1033908092
19|Walking Downstairs|tbodyaccmeanz|-0.133695240660974
20|Walking Downstairs|tbodyaccmeanz|-0.104602925937778
21|Walking Downstairs|tbodyaccmeanz|-0.09816866218
22|Walking Downstairs|tbodyaccmeanz|-0.1074157796
23|Walking Downstairs|tbodyaccmeanz|-0.0988123712574074
24|Walking Downstairs|tbodyaccmeanz|-0.104818820272727
25|Walking Downstairs|tbodyaccmeanz|-0.107192376965517
26|Walking Downstairs|tbodyaccmeanz|-0.1064396194
27|Walking Downstairs|tbodyaccmeanz|-0.112837694688636
28|Walking Downstairs|tbodyaccmeanz|-0.10858897408913
29|Walking Downstairs|tbodyaccmeanz|-0.0981339984895833
30|Walking Downstairs|tbodyaccmeanz|-0.0999781422322581
1|Walking Upstairs|tbodyaccmeanz|-0.0973020020943396
2|Walking Upstairs|tbodyaccmeanz|-0.152513899520833
3|Walking Upstairs|tbodyaccmeanz|-0.110064863437288
